"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2021","9,987.5","9,987.5","9,987.5","9,987.5","2.00K","0.00%"
"01/28/2021","9,987.5","9,987.5","9,987.5","9,987.5","0.10K","-2.86%"
"01/25/2021","10,281.3","10,281.3","10,281.3","10,281.3","0.50K","0.00%"
"01/20/2021","10,281.3","10,281.3","10,281.3","10,281.3","0.10K","-0.94%"
"01/19/2021","10,379.2","10,379.2","10,379.2","10,379.2","0.20K","0.00%"
"01/18/2021","10,379.2","10,379.2","10,379.2","10,379.2","0.10K","-3.64%"
"01/15/2021","10,770.8","10,770.8","10,770.8","10,770.8","2.00K","0.00%"
"01/14/2021","10,770.8","10,868.8","10,868.8","10,770.8","0.60K","-0.90%"
"01/13/2021","10,868.8","10,868.8","10,868.8","10,868.8","0.20K","-0.89%"
"01/11/2021","10,966.7","10,966.7","10,966.7","10,966.7","7.10K","0.00%"
"01/08/2021","10,966.7","10,966.7","10,966.7","10,966.7","0.60K","-5.48%"
"01/07/2021","11,603.1","11,603.1","11,603.1","11,603.1","0.30K","6.76%"
"12/31/2020","10,868.8","10,281.3","10,868.8","10,183.3","1.28K","6.73%"
"12/30/2020","10,183.3","10,281.3","10,281.3","10,183.3","2.18K","-0.95%"
"12/29/2020","10,281.3","10,281.3","10,281.3","10,281.3","0.80K","0.00%"
"12/28/2020","10,281.3","10,281.3","10,281.3","10,281.3","0.79K","0.00%"
"12/25/2020","10,281.3","10,281.3","10,281.3","10,281.3","0.35K","-5.41%"
"12/24/2020","10,868.8","10,868.8","10,868.8","10,868.8","0.03K","0.00%"
"12/21/2020","10,868.8","10,477.1","10,868.8","10,477.1","0.11K","5.71%"
"12/18/2020","10,281.3","10,281.3","10,281.3","10,281.3","0.46K","0.00%"
"12/17/2020","10,281.3","10,281.3","10,281.3","10,281.3","0.15K","0.00%"
"12/16/2020","10,281.3","10,281.3","10,281.3","10,281.3","0.11K","0.00%"
"12/15/2020","10,281.3","10,281.3","10,281.3","10,281.3","0.21K","0.00%"
"12/14/2020","10,281.3","10,183.3","10,281.3","10,183.3","2.28K","0.00%"
"12/11/2020","10,281.3","10,281.3","10,281.3","10,281.3","0.06K","-4.54%"
"12/10/2020","10,770.8","9,595.8","10,770.8","9,595.8","1.05K","4.76%"
"12/09/2020","10,281.3","10,281.3","10,281.3","10,281.3","0.60K","3.96%"
"12/08/2020","9,889.6","9,889.6","9,889.6","9,889.6","0.02K","-5.16%"
"12/04/2020","10,428.1","10,428.1","10,428.1","10,428.1","2.00K","-5.20%"
"12/03/2020","11,000.0","11,000.0","11,000.0","11,000.0","","-1.89%"
"12/02/2020","11,211.5","10,428.1","11,211.5","10,428.1","0.26K","0.00%"
"12/01/2020","11,211.5","11,260.4","11,260.4","10,770.8","1.32K","5.05%"
"11/30/2020","10,672.9","10,672.9","10,770.8","10,672.9","1.78K","0.00%"
"11/27/2020","10,672.9","10,085.4","10,721.9","9,791.7","2.16K","5.83%"
"11/26/2020","10,085.4","9,781.9","10,085.4","9,781.9","0.45K","6.85%"
"11/25/2020","9,439.2","9,429.4","9,439.2","9,429.4","0.37K","-6.86%"
"11/24/2020","10,134.4","10,134.4","10,134.4","10,134.4","0.01K","0.98%"
"11/23/2020","10,036.5","9,439.2","10,036.5","9,439.2","0.10K","6.33%"
"11/20/2020","9,439.2","8,205.4","9,439.2","8,205.4","0.41K","6.99%"
"11/18/2020","8,822.3","8,655.8","8,822.3","8,655.8","0.14K","-5.16%"
"11/16/2020","9,302.1","9,223.8","9,302.1","9,223.8","1.07K","-3.06%"
"11/13/2020","9,595.8","9,400.0","9,595.8","9,400.0","0.41K","2.08%"
