"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2020","43,141","46,742","47,508","42,911","199.29K","-4.58%"
"09/07/2020","45,210","45,210","45,363","42,911","224.90K","0.00%"
"09/04/2020","45,210","46,957","46,957","45,210","221.94K","-1.32%"
"09/03/2020","45,817","42,550","45,893","41,790","198.14K","3.96%"
"09/01/2020","44,070","42,550","44,070","41,790","208.91K","2.66%"
"08/31/2020","42,930","44,906","46,349","42,550","192.47K","-4.24%"
"08/28/2020","44,830","45,969","47,109","44,070","274.35K","-4.84%"
"08/27/2020","47,109","44,830","47,185","42,550","207.03K","6.16%"
"08/26/2020","44,374","40,271","44,374","40,271","231.18K","6.96%"
"08/25/2020","41,486","38,143","41,486","38,143","258.79K","6.85%"
"08/24/2020","38,827","35,332","38,827","35,028","215.31K","6.79%"
"08/21/2020","36,358","35,712","37,231","35,560","216.53K","0.84%"
"08/20/2020","36,054","36,016","37,231","35,978","199.92K","0.21%"
"08/19/2020","35,978","35,712","37,231","35,712","248.65K","-0.21%"
"08/18/2020","36,054","35,864","36,168","35,370","239.26K","-2.17%"
"08/17/2020","36,852","34,952","36,852","34,192","206.91K","1.57%"
"08/14/2020","36,282","36,244","37,231","36,168","198.19K","0.32%"
"08/13/2020","36,168","35,788","37,839","35,788","194.79K","1.28%"
"08/12/2020","35,712","35,560","36,852","35,180","285.12K","0.43%"
"08/11/2020","35,560","34,952","35,712","34,268","281.94K","-1.68%"
"08/10/2020","36,168","37,953","37,953","35,864","216.12K","-0.42%"
"08/07/2020","36,320","35,446","37,231","34,952","270.07K","2.47%"
"08/06/2020","35,446","35,332","36,472","34,268","213.47K","0.32%"
"08/05/2020","35,332","36,320","36,852","35,332","283.09K","-2.72%"
"08/04/2020","36,320","35,712","36,472","35,560","263.36K","1.27%"
"08/03/2020","35,864","33,888","36,092","33,888","247.99K","6.31%"
"07/31/2020","33,736","31,951","34,344","31,951","289.85K","0.34%"
"07/30/2020","33,622","33,432","33,812","33,128","349.93K","0.23%"
"07/29/2020","33,546","34,724","34,724","33,508","245.58K","-2.22%"
"07/28/2020","34,306","33,812","34,648","33,812","289.00K","1.46%"
"07/27/2020","33,812","33,812","33,964","33,470","246.74K","-0.56%"
"07/24/2020","34,002","34,724","34,724","32,711","229.59K","0.11%"
"07/23/2020","33,964","33,926","34,192","33,850","269.94K","0.34%"
"07/22/2020","33,850","33,888","34,192","33,812","300.37K","0.11%"
"07/21/2020","33,812","33,432","34,192","31,913","261.23K","-0.56%"
"07/20/2020","34,002","34,344","34,344","32,976","161.84K","0.11%"
"07/17/2020","33,964","33,432","34,268","33,432","250.63K","-0.67%"
"07/16/2020","34,192","33,432","34,192","32,711","264.13K","2.27%"
"07/15/2020","33,432","32,293","33,432","32,293","329.79K","1.73%"
"07/14/2020","32,862","32,672","33,432","32,483","401.95K","0.82%"
"07/13/2020","32,596","31,533","32,672","31,533","344.77K","0.94%"
"07/10/2020","32,293","31,913","32,672","31,837","328.36K","-1.16%"
"07/09/2020","32,672","32,521","33,014","30,773","366.08K","0.46%"
"07/08/2020","32,521","33,432","34,154","31,609","290.46K","-3.06%"
"07/07/2020","33,546","33,052","33,850","31,913","258.03K","-1.01%"
"07/06/2020","33,888","33,774","33,926","31,913","334.78K","0.34%"
"07/03/2020","33,774","34,192","34,306","31,761","390.54K","-0.45%"
"07/02/2020","33,926","34,952","34,952","32,521","212.84K","-0.67%"
"07/01/2020","34,154","33,432","34,572","33,394","264.44K","2.74%"
"06/30/2020","33,242","33,356","34,078","31,761","262.68K","-1.46%"
"06/29/2020","33,736","32,293","34,572","31,533","271.47K","0.91%"
"06/26/2020","33,432","32,369","34,344","32,369","273.85K","-1.12%"
"06/25/2020","33,812","33,136","34,939","33,136","262.72K","-1.10%"
"06/24/2020","34,188","33,437","34,188","33,437","294.68K","-0.22%"
"06/23/2020","34,263","34,676","34,939","32,497","275.10K","-1.19%"
"06/22/2020","34,676","35,465","35,653","32,723","313.33K","-1.28%"
